Forecaster, Cumulative Accuracy, Average Score, 101: US April, , ,104: China April, , ,201: France April, , ,204: Italy April
 , , ,SWRPS, Accuracy Score, Participation Rate,SWRPS, Accuracy Score, Participation Rate,SWRPS, Accuracy Score, Participation Rate,SWRPS, Accuracy Score, Participation Rate
Forecaster #2387,-0.621, 0.333,0.094,-0.153,99%,0.945,0.048,99%,0.239,-0.289,99%,0.052,-0.227,97%
Forecaster #2022,-0.548, 0.347,0.307,0.058,98%,0.397,-0.491,98%,0.286,-0.21,85%,0.397,0.095,85%
Forecaster #2386,-0.500, 0.361,0.281,0.031,96%,0.183,-0.684,96%,0.378,-0.146,95%,0.602,0.299,95%
Forecaster #2376,-0.491, 0.046,0,-0.068,27%,0.009,-0.201,23%,0.156,-0.143,38%,0.018,-0.079,30%
Forecaster #1982,-0.483, 0.360,0.358,0.101,92%,0.431,-0.427,92%,0.401,-0.124,94%,0.251,-0.033,94%
Forecaster #2179,-0.417, 0.362,0.235,-0.013,99%,0.489,-0.404,99%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2112,-0.411, 0.386,0.509,0.259,99%,0.308,-0.585,99%,0.479,-0.05,94%,0.248,-0.035,93%
Forecaster #2275,-0.386, 0.378,0.355,0.106,99%,0.401,-0.492,99%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2092,-0.382, 0.390,0.22,-0.027,95%,0.469,-0.405,95%,0.264,-0.262,97%,0.606,0.312,97%
Forecaster #2278,-0.370, 0.355,0.02,-0.132,58%,0.889,-0.006,84%,0.326,-0.155,75%,0.183,-0.077,75%
Forecaster #2202,-0.271, 0.422,0.185,-0.062,97%,0.936,0.037,93%,0.422,-0.106,96%,0.144,-0.14,99%
Forecaster #2318,-0.243, 0.336,0.079,-0.05,30%,1.068,0.046,27%,0,-0.205,39%,0.198,-0.034,39%
Forecaster #2068,-0.232, 0.199,0,-0.041,17%,0.795,-0.017,16%,0,-0.113,21%,0,-0.061,21%
Forecaster #2058,-0.228, 0.431,0.28,0.03,96%,0.461,-0.417,96%,0.592,0.058,98%,0.389,0.101,98%
Forecaster #2309,-0.214, 0.438,0.231,-0.015,88%,0.978,0.072,88%,0.534,0.002,99%,0.009,-0.273,99%
Forecaster #2220,-0.201, 0.136,0.035,-0.049,23%,0.236,-0.152,23%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2107,-0.199, 0.218,0,-0.056,23%,0.794,-0.023,23%,0.079,-0.074,16%,0,-0.046,16%
Forecaster #2261,-0.190, 0.031,0.051,-0.05,25%,0.032,-0.05,6%,0,-0.062,12%,0.04,-0.028,12%
Forecaster #2566,-0.174, 0.080,0,-0.044,18%,0.159,-0.13,18%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2567,-0.166, 0.446,0.182,-0.062,94%,0.808,-0.083,94%,0.49,-0.036,83%,0.304,0.015,83%
Forecaster #2390,-0.162, 0.010,0,-0.019,8%,0,-0.067,8%,0.04,-0.048,10%,0,-0.028,10%
Forecaster #2081,-0.162, 0.482,0.283,0.031,90%,0.681,-0.193,90%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2291,-0.158, 0.330,0.04,-0.055,27%,0.557,-0.083,24%,0.34,-0.041,21%,0.384,0.021,21%
Forecaster #2185,-0.150, 0.497,0.199,-0.049,99%,0.794,-0.101,99%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #1997,-0.140, 0.455,0.377,0.126,98%,0.651,-0.24,98%,0.292,-0.236,98%,0.5,0.21,98%
Forecaster #2326,-0.136, 0.454,0.272,0.022,94%,0.744,-0.142,94%,0.62,0.082,94%,0.181,-0.098,94%
Forecaster #2010,-0.135, 0.443,0.332,0.066,79%,0.898,0.001,79%,0.365,-0.122,73%,0.176,-0.08,73%
Forecaster #2116,-0.121, 0.457,0.087,-0.15,93%,0.961,0.06,93%,0.42,-0.102,91%,0.36,0.071,95%
Forecaster #2243,-0.108, 0.435,0,-0.069,28%,0.804,-0.026,28%,0.794,0.039,15%,0.141,-0.052,36%
Forecaster #2044,-0.108, 0.460,0.427,0.175,98%,0.573,-0.301,93%,0.53,-0.002,95%,0.309,0.02,89%
Forecaster #2106,-0.107, 0.458,0.267,0.015,83%,0.772,-0.103,83%,0.397,-0.105,78%,0.397,0.086,78%
Forecaster #2374,-0.106, 0.004,0,-0.023,9%,0.008,-0.083,9%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2087,-0.106, 0.462,0.383,0.121,90%,0.641,-0.231,90%,0.418,-0.097,84%,0.408,0.101,82%
Forecaster #2108,-0.095, 0.286,0.056,-0.032,17%,0.516,-0.063,17%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2119,-0.087, 0.425,0.304,0.017,30%,0.667,-0.069,30%,0.303,-0.089,39%,0.425,0.054,39%
Forecaster #2038,-0.087, 0.468,0.133,-0.11,96%,0.894,-0.002,96%,0.7,0.164,98%,0.145,-0.139,98%
Forecaster #2132,-0.083, 0.000,0,-0.083,33%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #1970,-0.082, 0.470,0.259,0.009,80%,1.036,0.078,56%,0.362,-0.124,73%,0.224,-0.045,73%
Forecaster #2189,-0.071, 0.472,0.201,-0.044,93%,1.027,0.122,93%,0.391,-0.135,95%,0.27,-0.014,94%
Forecaster #2269,-0.066, 0.474,0.176,-0.069,96%,1.06,0.156,96%,0.346,-0.182,98%,0.316,0.029,98%
Forecaster #2115,-0.065, 0.432,0.095,-0.05,33%,1.278,0.027,7%,0.357,-0.016,9%,0,-0.026,9%
Forecaster #2145,-0.059, 0.056,0.056,-0.059,31%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2098,-0.058, 0.474,0.294,0.044,96%,0.874,-0.021,96%,0.392,-0.127,90%,0.337,0.046,90%
Forecaster #2370,-0.057, 0.020,0,-0.007,3%,0,-0.024,3%,0.079,-0.016,4%,0,-0.01,4%
Forecaster #2253,-0.056, 0.115,0.031,-0.013,6%,0.198,-0.043,6%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2219,-0.040, 0.079,0.079,-0.04,24%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2114,-0.040, 0.479,0.285,0.035,96%,0.766,-0.122,93%,0.636,0.102,98%,0.23,-0.055,98%
Forecaster #1983,-0.037, 0.136,0.136,-0.037,33%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2047,-0.035, 0.486,0.316,0.064,95%,0.689,-0.197,95%,0.485,-0.046,98%,0.454,0.144,86%
Forecaster #2177,-0.032, 0.473,0.293,0.042,95%,1.049,0.144,95%,0.434,-0.081,82%,0.117,-0.137,81%
Forecaster #2388,-0.018, 0.000,0,-0.018,7%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2049,-0.017, 0.481,0.278,0.028,93%,1.064,0.153,91%,0.409,-0.106,86%,0.173,-0.092,81%
Forecaster #2181,-0.016, 0.564,0.782,0.507,95%,0.346,-0.523,95%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2131,-0.007, 0.000,0,-0.007,3%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2213,0.015, 0.359,0.6,0.334,95%,0.764,-0.123,93%,0.073,-0.121,26%,0,-0.075,26%
Forecaster #2149,0.021, 0.583,0.834,0.578,99%,0.332,-0.557,99%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2266,0.023, 0.497,0.328,0.076,96%,1.029,0.127,96%,0.4,-0.128,96%,0.231,-0.052,96%
Forecaster #2175,0.024, 0.584,0.402,0.146,95%,0.765,-0.122,93%,no forecast,no forecast,0%,no forecast,no forecast,0%
